 ******* Program HYDRUS
 ******* None                                                                    
 Date:   0.**.    Time: ***:**:**
 Units: L = cm   , T = days , M = mmol 



                               Node( 31)

         time         h        theta    Temp   
        686.0000     -264.14  0.1727   20.000
        687.0000     -272.94  0.1700   20.000
        688.0000     -279.98  0.1679   20.000
        689.0000     -287.46  0.1656   20.000
        690.0000     -295.15  0.1633   20.000
        691.0000     -297.32  0.1626   20.000
        692.0000     -295.30  0.1632   20.000
        693.0000     -299.57  0.1620   20.000
        694.0000     -298.36  0.1623   20.000
        695.0000     -293.31  0.1639   20.000
        696.0000     -295.84  0.1631   20.000
        697.0000     -301.26  0.1614   20.000
        698.0000     -299.81  0.1618   20.000
        699.0000     -275.31  0.1693   20.000
        700.0000     -252.99  0.1761   20.000
        701.0000     -219.50  0.1888   20.000
        702.0000     -211.57  0.1922   20.000
        703.0000     -213.52  0.1913   20.000
        704.0000     -218.83  0.1891   20.000
        705.0000     -226.26  0.1860   20.000
        706.0000     -232.74  0.1833   20.000
        707.0000     -239.01  0.1807   20.000
        708.0000     -246.00  0.1782   20.000
        709.0000     -253.60  0.1759   20.000
        710.0000     -258.61  0.1743   20.000
        711.0000     -206.29  0.1944   20.000
        712.0000     -146.30  0.2273   20.000
        713.0000     -141.14  0.2313   20.000
        714.0000     -152.35  0.2229   20.000
        715.0000     -162.18  0.2173   20.000
        716.0000     -170.11  0.2128   20.000
        717.0000     -161.93  0.2174   20.000
        718.0000     -133.95  0.2368   20.000
        719.0000     -136.88  0.2345   20.000
        720.0000     -147.79  0.2263   20.000
        721.0000     -158.54  0.2193   20.000
        722.0000     -167.32  0.2143   20.000
        723.0000     -175.69  0.2096   20.000
        724.0000     -182.52  0.2056   20.000
        725.0000     -184.27  0.2047   20.000
        726.0000     -187.90  0.2027   20.000
        727.0000     -193.58  0.1997   20.000
        728.0000     -199.41  0.1972   20.000
        729.0000     -204.61  0.1950   20.000
        730.0000     -209.89  0.1929   20.000
end
