 ******* Program HYDRUS
 ******* None                                                                    
 Date:   0.**.    Time: ***:**:**
 Units: L = cm   , T = days , M = mmol 



                               Node( 31)

         time         h        theta    Temp   
        156.0000     -431.90  0.1354   20.000
        157.0000     -285.11  0.1665   20.000
        158.0000     -301.12  0.1615   20.000
        159.0000     -331.88  0.1544   20.000
        160.0000     -364.35  0.1473   20.000
        161.0000     -403.74  0.1398   20.000
        162.0000     -445.12  0.1333   20.000
        163.0000     -484.29  0.1272   20.000
        164.0000     -512.74  0.1240   20.000
        165.0000     -545.08  0.1204   20.000
        166.0000     -581.69  0.1163   20.000
        167.0000     -623.71  0.1120   20.000
        168.0000     -666.24  0.1087   20.000
        169.0000     -703.55  0.1057   20.000
        170.0000     -739.78  0.1029   20.000
        171.0000     -777.68  0.1000   20.000
        172.0000     -815.60  0.0978   20.000
        173.0000     -850.29  0.0959   20.000
        174.0000     -872.83  0.0947   20.000
        175.0000     -901.14  0.0931   20.000
        176.0000     -932.26  0.0914   20.000
        177.0000     -950.03  0.0904   20.000
        178.0000     -962.71  0.0897   20.000
        179.0000     -985.07  0.0886   20.000
        180.0000    -1009.01  0.0876   20.000
        181.0000    -1033.12  0.0867   20.000
        182.0000    -1061.35  0.0856   20.000
        183.0000    -1085.92  0.0846   20.000
        184.0000    -1109.67  0.0837   20.000
        185.0000    -1112.68  0.0836   20.000
        186.0000     -979.24  0.0888   20.000
        187.0000     -779.09  0.1000   20.000
        188.0000     -753.48  0.1018   20.000
        189.0000     -782.32  0.0997   20.000
        190.0000     -826.50  0.0972   20.000
        191.0000     -430.75  0.1356   20.000
        192.0000     -311.47  0.1589   20.000
        193.0000     -340.68  0.1525   20.000
        194.0000     -378.33  0.1442   20.000
        195.0000     -429.00  0.1359   20.000
        196.0000     -480.02  0.1279   20.000
        197.0000     -534.47  0.1216   20.000
        198.0000     -587.61  0.1157   20.000
        199.0000     -641.36  0.1106   20.000
        200.0000     -692.47  0.1066   20.000
        201.0000     -739.47  0.1029   20.000
        202.0000     -788.50  0.0994   20.000
        203.0000     -833.75  0.0968   20.000
        204.0000     -874.52  0.0946   20.000
        205.0000     -908.35  0.0927   20.000
        206.0000     -944.42  0.0907   20.000
        207.0000     -982.50  0.0887   20.000
        208.0000    -1017.57  0.0873   20.000
        209.0000    -1049.79  0.0860   20.000
        210.0000    -1074.67  0.0850   20.000
        211.0000    -1082.09  0.0848   20.000
        212.0000     -399.45  0.1405   20.000
        213.0000     -414.87  0.1381   20.000
        214.0000     -458.07  0.1313   20.000
        215.0000     -476.92  0.1284   20.000
        216.0000     -462.13  0.1309   20.000
        217.0000     -486.76  0.1271   20.000
        218.0000     -531.95  0.1219   20.000
        219.0000     -577.10  0.1168   20.000
        220.0000     -621.94  0.1121   20.000
        221.0000     -662.43  0.1089   20.000
        222.0000     -692.17  0.1066   20.000
        223.0000     -704.31  0.1057   20.000
        224.0000     -640.90  0.1106   20.000
        225.0000     -618.32  0.1124   20.000
        226.0000     -648.29  0.1101   20.000
        227.0000     -690.34  0.1067   20.000
        228.0000     -736.21  0.1031   20.000
        229.0000     -780.91  0.0998   20.000
        230.0000     -791.99  0.0991   20.000
        231.0000     -758.47  0.1014   20.000
        232.0000     -707.63  0.1054   20.000
        233.0000     -484.34  0.1274   20.000
        234.0000     -340.32  0.1526   20.000
        235.0000     -228.73  0.1850   20.000
        236.0000     -240.58  0.1801   20.000
        237.0000     -272.14  0.1702   20.000
        238.0000     -302.87  0.1610   20.000
        239.0000     -339.76  0.1527   20.000
        240.0000     -368.27  0.1464   20.000
        241.0000     -354.09  0.1495   20.000
        242.0000     -279.79  0.1680   20.000
        243.0000     -268.82  0.1713   20.000
        244.0000     -286.23  0.1660   20.000
        245.0000     -308.16  0.1596   20.000
        246.0000     -336.49  0.1534   20.000
        247.0000     -261.06  0.1736   20.000
        248.0000     -222.85  0.1875   20.000
        249.0000     -221.82  0.1879   20.000
        250.0000     -143.15  0.2298   20.000
        251.0000     -157.70  0.2199   20.000
        252.0000     -180.64  0.2067   20.000
        253.0000     -201.18  0.1965   20.000
        254.0000     -220.40  0.1885   20.000
        255.0000     -236.63  0.1817   20.000
        256.0000     -254.64  0.1756   20.000
        257.0000     -273.00  0.1700   20.000
        258.0000     -289.86  0.1649   20.000
        259.0000     -304.52  0.1604   20.000
        260.0000     -322.15  0.1565   20.000
        261.0000     -164.04  0.2163   20.000
        262.0000     -162.72  0.2170   20.000
        263.0000     -184.31  0.2047   20.000
        264.0000     -204.62  0.1951   20.000
        265.0000     -222.55  0.1875   20.000
        266.0000     -238.43  0.1809   20.000
        267.0000     -253.97  0.1758   20.000
        268.0000     -269.10  0.1712   20.000
        269.0000     -281.47  0.1674   20.000
        270.0000     -236.21  0.1819   20.000
        271.0000     -130.41  0.2395   20.000
        272.0000     -144.92  0.2284   20.000
        273.0000     -166.95  0.2145   20.000
        274.0000     -184.22  0.2047   20.000
        275.0000     -199.59  0.1972   20.000
        276.0000     -212.36  0.1917   20.000
        277.0000     -223.36  0.1872   20.000
        278.0000     -226.11  0.1861   20.000
        279.0000     -222.60  0.1875   20.000
        280.0000     -227.80  0.1854   20.000
        281.0000     -238.77  0.1808   20.000
        282.0000     -251.06  0.1767   20.000
        283.0000     -261.54  0.1735   20.000
        284.0000     -270.55  0.1707   20.000
        285.0000     -280.63  0.1677   20.000
        286.0000     -289.38  0.1650   20.000
        287.0000     -299.65  0.1619   20.000
        288.0000     -311.16  0.1589   20.000
        289.0000     -322.78  0.1564   20.000
        290.0000     -334.32  0.1538   20.000
        291.0000     -330.17  0.1547   20.000
        292.0000     -304.87  0.1604   20.000
        293.0000     -300.86  0.1615   20.000
        294.0000     -299.66  0.1619   20.000
        295.0000     -264.70  0.1725   20.000
        296.0000     -207.41  0.1939   20.000
        297.0000     -191.16  0.2008   20.000
        298.0000     -199.82  0.1971   20.000
        299.0000     -207.20  0.1940   20.000
        300.0000     -214.35  0.1910   20.000
        301.0000     -191.39  0.2007   20.000
        302.0000     -190.18  0.2014   20.000
        303.0000     -199.32  0.1973   20.000
        304.0000     -208.62  0.1934   20.000
        305.0000     -219.14  0.1890   20.000
        306.0000     -229.09  0.1848   20.000
        307.0000     -237.71  0.1812   20.000
        308.0000     -244.87  0.1785   20.000
        309.0000     -252.15  0.1764   20.000
        310.0000     -258.66  0.1743   20.000
        311.0000     -265.24  0.1724   20.000
        312.0000     -271.63  0.1704   20.000
        313.0000     -264.75  0.1725   20.000
        314.0000     -256.55  0.1750   20.000
        315.0000     -259.09  0.1742   20.000
        316.0000     -264.33  0.1727   20.000
        317.0000     -271.24  0.1705   20.000
        318.0000     -277.45  0.1686   20.000
        319.0000     -282.27  0.1672   20.000
        320.0000     -287.02  0.1657   20.000
        321.0000     -292.17  0.1642   20.000
        322.0000     -267.21  0.1718   20.000
        323.0000     -242.97  0.1792   20.000
        324.0000     -246.71  0.1780   20.000
        325.0000     -253.15  0.1760   20.000
        326.0000     -260.03  0.1740   20.000
        327.0000     -267.03  0.1718   20.000
        328.0000     -273.60  0.1698   20.000
        329.0000     -248.40  0.1775   20.000
        330.0000     -232.51  0.1835   20.000
        331.0000     -238.29  0.1810   20.000
        332.0000     -246.79  0.1780   20.000
        333.0000     -253.40  0.1759   20.000
        334.0000     -259.46  0.1741   20.000
        335.0000     -265.78  0.1722   20.000
        336.0000     -271.46  0.1705   20.000
        337.0000     -265.79  0.1722   20.000
        338.0000     -258.84  0.1743   20.000
        339.0000     -263.12  0.1730   20.000
        340.0000     -269.24  0.1712   20.000
        341.0000     -266.22  0.1720   20.000
        342.0000     -191.63  0.2006   20.000
        343.0000     -175.00  0.2100   20.000
        344.0000     -177.93  0.2083   20.000
        345.0000     -186.52  0.2035   20.000
        346.0000     -169.00  0.2134   20.000
        347.0000     -171.91  0.2117   20.000
        348.0000     -181.83  0.2061   20.000
        349.0000     -185.69  0.2039   20.000
        350.0000     -186.34  0.2035   20.000
        351.0000     -189.83  0.2015   20.000
        352.0000     -196.58  0.1984   20.000
        353.0000     -203.48  0.1955   20.000
        354.0000     -209.23  0.1931   20.000
        355.0000     -214.06  0.1911   20.000
        356.0000     -218.50  0.1892   20.000
        357.0000     -222.64  0.1875   20.000
        358.0000     -226.69  0.1858   20.000
        359.0000     -230.88  0.1841   20.000
        360.0000     -234.88  0.1824   20.000
        361.0000     -238.99  0.1807   20.000
        362.0000     -242.56  0.1792   20.000
        363.0000     -246.32  0.1781   20.000
        364.0000     -249.81  0.1770   20.000
        365.0000     -253.52  0.1759   20.000
        366.0000     -258.08  0.1746   20.000
        367.0000     -262.05  0.1733   20.000
        368.0000     -265.87  0.1722   20.000
        369.0000     -269.45  0.1711   20.000
        370.0000     -272.54  0.1701   20.000
        371.0000     -275.53  0.1692   20.000
        372.0000     -278.71  0.1683   20.000
        373.0000     -283.38  0.1669   20.000
        374.0000     -287.63  0.1656   20.000
        375.0000     -291.42  0.1644   20.000
        376.0000     -294.90  0.1633   20.000
        377.0000     -298.13  0.1624   20.000
        378.0000     -298.17  0.1624   20.000
        379.0000     -296.88  0.1628   20.000
        380.0000     -298.28  0.1623   20.000
        381.0000     -300.54  0.1617   20.000
        382.0000     -300.54  0.1616   20.000
        383.0000     -299.28  0.1620   20.000
        384.0000     -301.70  0.1613   20.000
        385.0000     -307.44  0.1597   20.000
        386.0000     -314.59  0.1582   20.000
        387.0000     -320.50  0.1568   20.000
        388.0000     -325.91  0.1557   20.000
        389.0000     -333.65  0.1540   20.000
        390.0000     -339.29  0.1528   20.000
        391.0000     -345.74  0.1514   20.000
        392.0000     -351.04  0.1502   20.000
        393.0000     -357.05  0.1489   20.000
        394.0000     -364.31  0.1473   20.000
        395.0000     -370.79  0.1459   20.000
        396.0000     -376.26  0.1447   20.000
        397.0000     -381.87  0.1435   20.000
        398.0000     -376.56  0.1446   20.000
        399.0000     -355.16  0.1493   20.000
        400.0000     -351.17  0.1502   20.000
        401.0000     -339.90  0.1526   20.000
        402.0000     -322.32  0.1565   20.000
        403.0000     -325.85  0.1558   20.000
        404.0000     -334.37  0.1538   20.000
        405.0000     -344.71  0.1516   20.000
        406.0000     -354.27  0.1495   20.000
        407.0000     -364.00  0.1474   20.000
        408.0000     -373.37  0.1453   20.000
        409.0000     -383.25  0.1431   20.000
        410.0000     -392.69  0.1415   20.000
        411.0000     -398.18  0.1406   20.000
        412.0000     -403.81  0.1398   20.000
        413.0000     -412.19  0.1385   20.000
        414.0000     -419.89  0.1373   20.000
        415.0000     -430.81  0.1356   20.000
        416.0000     -442.81  0.1337   20.000
        417.0000     -454.33  0.1319   20.000
        418.0000     -467.40  0.1299   20.000
        419.0000     -479.75  0.1279   20.000
        420.0000     -495.03  0.1260   20.000
        421.0000     -510.34  0.1243   20.000
        422.0000     -526.78  0.1224   20.000
        423.0000     -543.10  0.1206   20.000
        424.0000     -558.20  0.1189   20.000
        425.0000     -572.55  0.1173   20.000
        426.0000     -584.62  0.1160   20.000
        427.0000     -600.63  0.1142   20.000
        428.0000     -618.67  0.1124   20.000
        429.0000     -630.23  0.1115   20.000
        430.0000     -634.17  0.1112   20.000
        431.0000     -624.93  0.1119   20.000
        432.0000     -615.25  0.1127   20.000
        433.0000     -607.91  0.1134   20.000
        434.0000     -598.44  0.1145   20.000
        435.0000     -597.27  0.1147   20.000
        436.0000     -596.00  0.1147   20.000
        437.0000     -599.32  0.1144   20.000
        438.0000     -603.49  0.1139   20.000
        439.0000     -611.22  0.1131   20.000
        440.0000     -622.99  0.1121   20.000
        441.0000     -638.48  0.1108   20.000
        442.0000     -656.16  0.1094   20.000
        443.0000     -670.74  0.1083   20.000
        444.0000     -683.01  0.1073   20.000
        445.0000     -698.34  0.1061   20.000
        446.0000     -715.10  0.1048   20.000
        447.0000     -727.97  0.1038   20.000
        448.0000     -737.88  0.1030   20.000
        449.0000     -620.06  0.1123   20.000
        450.0000     -479.55  0.1281   20.000
        451.0000     -460.55  0.1309   20.000
        452.0000     -463.11  0.1306   20.000
        453.0000     -469.36  0.1296   20.000
        454.0000     -480.49  0.1278   20.000
        455.0000     -504.33  0.1249   20.000
        456.0000     -532.82  0.1218   20.000
        457.0000     -560.63  0.1187   20.000
        458.0000     -583.01  0.1162   20.000
        459.0000     -604.64  0.1138   20.000
        460.0000     -625.78  0.1118   20.000
        461.0000     -648.15  0.1101   20.000
        462.0000     -673.30  0.1081   20.000
        463.0000     -694.76  0.1064   20.000
        464.0000     -711.18  0.1051   20.000
        465.0000     -723.94  0.1041   20.000
        466.0000     -742.12  0.1027   20.000
        467.0000     -764.71  0.1009   20.000
        468.0000     -781.12  0.0998   20.000
        469.0000     -798.80  0.0988   20.000
        470.0000     -822.96  0.0974   20.000
        471.0000     -840.63  0.0965   20.000
        472.0000     -851.84  0.0958   20.000
        473.0000     -829.83  0.0971   20.000
        474.0000     -807.20  0.0983   20.000
        475.0000     -804.86  0.0985   20.000
        476.0000     -817.31  0.0978   20.000
        477.0000     -832.81  0.0969   20.000
        478.0000     -850.08  0.0959   20.000
        479.0000     -866.81  0.0950   20.000
        480.0000     -889.85  0.0937   20.000
        481.0000     -914.80  0.0923   20.000
        482.0000     -941.23  0.0909   20.000
        483.0000     -974.31  0.0890   20.000
        484.0000    -1012.62  0.0875   20.000
        485.0000    -1045.30  0.0862   20.000
        486.0000    -1064.83  0.0854   20.000
        487.0000    -1088.41  0.0845   20.000
        488.0000    -1119.91  0.0833   20.000
        489.0000    -1149.65  0.0821   20.000
        490.0000    -1179.47  0.0809   20.000
        491.0000    -1203.38  0.0800   20.000
        492.0000    -1225.54  0.0791   20.000
        493.0000    -1250.92  0.0783   20.000
        494.0000    -1280.91  0.0775   20.000
        495.0000    -1311.33  0.0767   20.000
        496.0000    -1334.56  0.0760   20.000
        497.0000    -1354.50  0.0755   20.000
        498.0000    -1374.86  0.0749   20.000
        499.0000    -1401.19  0.0742   20.000
        500.0000    -1423.14  0.0736   20.000
        501.0000    -1454.21  0.0728   20.000
        502.0000    -1472.16  0.0722   20.000
        503.0000    -1482.71  0.0719   20.000
        504.0000    -1485.81  0.0719   20.000
        505.0000    -1496.40  0.0716   20.000
        506.0000    -1486.84  0.0718   20.000
        507.0000     -390.06  0.1419   20.000
        508.0000     -359.81  0.1483   20.000
        509.0000     -387.00  0.1424   20.000
        510.0000     -428.98  0.1359   20.000
        511.0000     -469.75  0.1295   20.000
        512.0000     -521.06  0.1231   20.000
        513.0000     -575.15  0.1170   20.000
        514.0000     -634.20  0.1112   20.000
        515.0000     -692.80  0.1066   20.000
        516.0000     -747.64  0.1022   20.000
        517.0000     -803.88  0.0985   20.000
        518.0000     -857.17  0.0955   20.000
        519.0000     -901.63  0.0931   20.000
        520.0000     -941.85  0.0908   20.000
        521.0000     -976.26  0.0889   20.000
        522.0000     -997.47  0.0881   20.000
        523.0000     -465.61  0.1302   20.000
        524.0000     -371.01  0.1459   20.000
        525.0000     -212.96  0.1916   20.000
        526.0000     -212.41  0.1918   20.000
        527.0000     -252.10  0.1764   20.000
        528.0000     -276.09  0.1690   20.000
        529.0000     -277.44  0.1687   20.000
        530.0000     -261.50  0.1735   20.000
        531.0000     -252.15  0.1764   20.000
        532.0000     -269.88  0.1710   20.000
        533.0000     -294.84  0.1634   20.000
        534.0000     -319.73  0.1570   20.000
        535.0000     -260.72  0.1738   20.000
        536.0000     -241.06  0.1800   20.000
        537.0000     -271.46  0.1705   20.000
        538.0000     -301.83  0.1613   20.000
        539.0000     -338.85  0.1529   20.000
        540.0000     -372.80  0.1454   20.000
        541.0000     -387.52  0.1423   20.000
        542.0000     -369.53  0.1462   20.000
        543.0000     -392.71  0.1416   20.000
        544.0000     -413.96  0.1382   20.000
        545.0000     -425.15  0.1365   20.000
        546.0000     -450.23  0.1326   20.000
        547.0000     -474.02  0.1288   20.000
        548.0000     -499.20  0.1255   20.000
        549.0000     -529.33  0.1221   20.000
        550.0000     -561.19  0.1186   20.000
        551.0000     -590.24  0.1154   20.000
        552.0000     -621.20  0.1122   20.000
        553.0000     -654.51  0.1096   20.000
        554.0000     -685.44  0.1071   20.000
        555.0000     -700.85  0.1059   20.000
        556.0000     -719.01  0.1045   20.000
        557.0000     -741.72  0.1027   20.000
        558.0000     -769.48  0.1005   20.000
        559.0000     -799.64  0.0987   20.000
        560.0000     -819.66  0.0976   20.000
        561.0000     -523.81  0.1228   20.000
        562.0000     -240.97  0.1798   20.000
        563.0000     -277.91  0.1685   20.000
        564.0000     -296.64  0.1628   20.000
        565.0000     -227.95  0.1853   20.000
        566.0000     -228.69  0.1849   20.000
        567.0000     -233.13  0.1831   20.000
        568.0000     -194.59  0.1992   20.000
        569.0000     -204.03  0.1953   20.000
        570.0000     -198.18  0.1977   20.000
        571.0000     -206.52  0.1943   20.000
        572.0000     -224.86  0.1866   20.000
        573.0000     -244.74  0.1786   20.000
        574.0000     -267.67  0.1716   20.000
        575.0000     -291.04  0.1645   20.000
        576.0000     -319.32  0.1571   20.000
        577.0000     -344.86  0.1515   20.000
        578.0000     -363.75  0.1474   20.000
        579.0000     -387.10  0.1424   20.000
        580.0000     -405.70  0.1395   20.000
        581.0000     -394.75  0.1412   20.000
        582.0000     -391.44  0.1417   20.000
        583.0000     -357.74  0.1488   20.000
        584.0000     -358.75  0.1486   20.000
        585.0000     -382.69  0.1434   20.000
        586.0000     -220.99  0.1883   20.000
        587.0000     -165.06  0.2156   20.000
        588.0000     -186.23  0.2036   20.000
        589.0000     -215.69  0.1904   20.000
        590.0000     -242.38  0.1793   20.000
        591.0000     -268.72  0.1713   20.000
        592.0000     -293.86  0.1637   20.000
        593.0000     -246.71  0.1780   20.000
        594.0000     -158.85  0.2192   20.000
        595.0000     -171.28  0.2121   20.000
        596.0000     -194.15  0.1995   20.000
        597.0000     -219.38  0.1888   20.000
        598.0000     -235.15  0.1823   20.000
        599.0000     -250.01  0.1770   20.000
        600.0000     -269.83  0.1710   20.000
        601.0000     -145.11  0.2284   20.000
        602.0000     -129.06  0.2405   20.000
        603.0000     -150.00  0.2246   20.000
        604.0000     -173.19  0.2109   20.000
        605.0000     -193.91  0.1995   20.000
        606.0000     -213.23  0.1914   20.000
        607.0000     -231.17  0.1839   20.000
        608.0000     -245.66  0.1783   20.000
        609.0000     -257.76  0.1746   20.000
        610.0000     -271.60  0.1705   20.000
        611.0000     -287.09  0.1658   20.000
        612.0000     -304.13  0.1606   20.000
        613.0000     -323.73  0.1562   20.000
