Pcp_File_Version=4
0
101 0 0 0         x    h  Mat  Lay  Beta  Axz  Bxz  Dxz  Temp Conc SConc
79   -78.0 -500    1    1  0.00  1.0  1.0  1.0  20.0           
80   -79.0 -500    1    1  0.00  1.0  1.0  1.0  20.0           
81   -80.0 -500    1    1  0.00  1.0  1.0  1.0  20.0           
82   -81.0 -500    1    1  0.00  1.0  1.0  1.0  20.0           
83   -82.0 -500    1    1  0.00  1.0  1.0  1.0  20.0           
84   -83.0 -500    1    1  0.00  1.0  1.0  1.0  20.0           
85   -84.0 -500    1    1  0.00  1.0  1.0  1.0  20.0           
86   -85.0 -500    1    1  0.00  1.0  1.0  1.0  20.0           
87   -86.0 -500    1    1  0.00  1.0  1.0  1.0  20.0           
88   -87.0 -500    1    1  0.00  1.0  1.0  1.0  20.0           
89   -88.0 -500    1    1  0.00  1.0  1.0  1.0  20.0           
90   -89.0 -500    1    1  0.00  1.0  1.0  1.0  20.0           
91   -90.0 -500    1    1  0.00  1.0  1.0  1.0  20.0           
92   -91.0 -500    1    1  0.00  1.0  1.0  1.0  20.0           
93   -92.0 -500    1    1  0.00  1.0  1.0  1.0  20.0           
94   -93.0 -500    1    1  0.00  1.0  1.0  1.0  20.0           
95   -94.0 -500    1    1  0.00  1.0  1.0  1.0  20.0           
96   -95.0 -500    1    1  0.00  1.0  1.0  1.0  20.0           
97   -96.0 -500    1    1  0.00  1.0  1.0  1.0  20.0           
98   -97.0 -500    1    1  0.00  1.0  1.0  1.0  20.0           
99   -98.0 -500    1    1  0.00  1.0  1.0  1.0  20.0           
100  -99.0 -500    1    1  0.00  1.0  1.0  1.0  20.0           
101 -100.0 -500    1    1  0.00  1.0  1.0  1.0  20.0           
1
   31
