

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

    47.00000 -0.523788E+01  0.205608E+01 -0.523950E+01  0.205608E+01 -0.515135E+00   -297.885   -292.504   -404.778      47
    48.00000 -0.523174E+01  0.212450E+01 -0.523336E+01  0.212450E+01 -0.532091E+00   -319.927   -309.556   -398.797      48
    49.00000 -0.523174E+01  0.217220E+01 -0.523310E+01  0.217220E+01 -0.549731E+00   -336.144   -325.224   -391.359      49
    50.00000 -0.521192E+01  0.225948E+01 -0.521427E+01  0.225948E+01 -0.568432E+00   -357.731   -340.260   -384.398      50
    51.00000 -0.514919E+01  0.234824E+01 -0.515158E+01  0.234824E+01 -0.588481E+00   -405.252   -365.245   -378.773      51
    52.00000 -0.510450E+01  0.245476E+01 -0.510733E+01  0.245476E+01 -0.609817E+00   -435.858   -387.859   -374.029      52
    53.00000 -0.507331E+01  0.256196E+01 -0.507616E+01  0.256196E+01 -0.632122E+00   -464.891   -411.804   -370.160      53
    54.00000 -0.504987E+01  0.265583E+01 -0.505239E+01  0.265583E+01 -0.655132E+00   -490.884   -433.411   -367.414      54
    55.00000 -0.504987E+01  0.272118E+01 -0.505167E+01  0.272118E+01 -0.678578E+00   -493.872   -446.944   -365.665      55
    56.00000 -0.513987E+01  0.277203E+01 -0.514167E+01  0.277203E+01 -0.702204E+00   -420.642   -432.986   -364.412      56
    57.00000 -0.591737E+01  0.285421E+01 -0.591918E+01  0.285421E+01 -0.725991E+00   -216.197   -319.626   -364.135      57
    58.00000 -0.591737E+01  0.294120E+01 -0.591921E+01  0.294120E+01 -0.749729E+00   -320.119   -334.004   -364.607      58
    59.00000 -0.594737E+01  0.300285E+01 -0.594920E+01  0.300285E+01 -0.773289E+00   -342.563   -347.840   -365.487      59
    60.00000 -0.594737E+01  0.309201E+01 -0.594937E+01  0.309201E+01 -0.796587E+00   -374.448   -365.735   -366.393      60
    61.00000 -0.612737E+01  0.315666E+01 -0.612936E+01  0.315666E+01 -0.819711E+00   -315.230   -351.435   -367.056      61
    62.00000 -0.612737E+01  0.320670E+01 -0.612927E+01  0.320670E+01 -0.842713E+00   -367.115   -363.789   -367.353      62
    63.00000 -0.612737E+01  0.339162E+01 -0.613040E+01  0.339162E+01 -0.865681E+00   -407.330   -389.323   -367.427      63
    64.00000 -0.606295E+01  0.351963E+01 -0.606526E+01  0.351963E+01 -0.888646E+00   -505.199   -432.819   -367.426      64
    65.00000 -0.606292E+01  0.369920E+01 -0.606653E+01  0.369920E+01 -0.911572E+00   -508.370   -455.792   -367.554      65
    66.00000 -0.606292E+01  0.379752E+01 -0.606450E+01  0.379752E+01 -0.934393E+00   -558.500   -492.764   -367.945      66
    67.00000 -0.832293E+01  0.382656E+01 -0.832448E+01  0.382656E+01 -0.957157E+00   -124.038   -204.493   -368.502      67
    68.00000 -0.832293E+01  0.391735E+01 -0.832470E+01  0.391735E+01 -0.979717E+00   -225.355   -231.619   -369.417      68
    69.00000 -0.832293E+01  0.406429E+01 -0.832517E+01  0.406429E+01 -0.100208E+01   -266.843   -263.456   -369.760      69
    70.00000 -0.827821E+01  0.421924E+01 -0.828055E+01  0.421924E+01 -0.102484E+01   -313.241   -294.811   -367.396      70
    71.00000 -0.821462E+01  0.438596E+01 -0.821711E+01  0.438596E+01 -0.104870E+01   -367.185   -329.927   -362.506      71
    72.00000 -0.815037E+01  0.456495E+01 -0.815317E+01  0.456495E+01 -0.107441E+01   -421.214   -365.188   -356.802      72
    73.00000 -0.811587E+01  0.477283E+01 -0.811938E+01  0.477283E+01 -0.110137E+01   -462.257   -398.905   -352.001      73
    74.00000 -0.806944E+01  0.494465E+01 -0.807205E+01  0.494465E+01 -0.112915E+01   -543.092   -443.887   -348.412      74
    75.00000 -0.802024E+01  0.512457E+01 -0.802306E+01  0.512457E+01 -0.115752E+01   -624.926   -485.702   -346.522      75
    76.00000 -0.801351E+01  0.530319E+01 -0.801629E+01  0.530319E+01 -0.118597E+01   -644.529   -520.356   -345.745      76
    77.00000 -0.801351E+01  0.552491E+01 -0.801737E+01  0.552491E+01 -0.121435E+01   -687.408   -556.415   -346.373      77
    78.00000 -0.115135E+02  0.553425E+01 -0.115173E+02  0.553425E+01 -0.124258E+01    -94.908   -147.281   -347.326      78
    79.00000 -0.124235E+02  0.560057E+01 -0.124273E+02  0.560057E+01 -0.127040E+01   -133.139   -149.814   -349.063      79
    80.00000 -0.123984E+02  0.572955E+01 -0.124026E+02  0.572955E+01 -0.129841E+01   -192.954   -186.368   -344.969      80
    81.00000 -0.123599E+02  0.590420E+01 -0.123645E+02  0.590421E+01 -0.133088E+01   -229.266   -216.520   -325.439      81
    82.00000 -0.127699E+02  0.601543E+01 -0.127745E+02  0.601543E+01 -0.136820E+01   -190.027   -205.913   -302.436      82
    83.00000 -0.150499E+02  0.603745E+01 -0.150545E+02  0.603745E+01 -0.141595E+01   -101.262   -122.584   -283.670      83
    84.00000 -0.150799E+02  0.613594E+01 -0.150845E+02  0.613594E+01 -0.147673E+01   -166.088   -159.479   -261.518      84
    85.00000 -0.150899E+02  0.625907E+01 -0.150945E+02  0.625907E+01 -0.155934E+01   -193.057   -183.155   -231.989      85
    86.00000 -0.150899E+02  0.644326E+01 -0.150949E+02  0.644326E+01 -0.168050E+01   -217.387   -203.608   -213.313      86
    87.00000 -0.150899E+02  0.664160E+01 -0.150950E+02  0.664160E+01 -0.182214E+01   -238.450   -222.501   -205.575      87
    88.00000 -0.150734E+02  0.683547E+01 -0.150785E+02  0.683547E+01 -0.196870E+01   -262.624   -241.377   -203.442      88
    89.00000 -0.150734E+02  0.695438E+01 -0.150766E+02  0.695438E+01 -0.211260E+01   -279.788   -257.535   -205.394      89
    90.00000 -0.151234E+02  0.709094E+01 -0.151266E+02  0.709094E+01 -0.225349E+01   -277.251   -263.525   -208.147      90
    91.00000 -0.151934E+02  0.722795E+01 -0.151966E+02  0.722796E+01 -0.238806E+01   -277.591   -268.011   -212.267      91
    92.00000 -0.152514E+02  0.746043E+01 -0.152546E+02  0.746043E+01 -0.251513E+01   -296.883   -283.447   -216.808      92
    93.00000 -0.153314E+02  0.771777E+01 -0.153346E+02  0.771777E+01 -0.263431E+01   -310.205   -298.288   -221.491      93
    94.00000 -0.154714E+02  0.779137E+01 -0.154746E+02  0.779137E+01 -0.274538E+01   -282.279   -286.359   -226.305      94
    95.00000 -0.154194E+02  0.803729E+01 -0.154237E+02  0.803729E+01 -0.284738E+01   -353.711   -315.377   -231.122      95
    96.00000 -0.153848E+02  0.833153E+01 -0.153894E+02  0.833153E+01 -0.294044E+01   -410.245   -352.561   -235.849      96
    97.00000 -0.155848E+02  0.860294E+01 -0.155894E+02  0.860294E+01 -0.302705E+01   -336.011   -349.273   -240.704      97
    98.00000 -0.155848E+02  0.879333E+01 -0.155889E+02  0.879333E+01 -0.310601E+01   -409.364   -371.953   -246.855      98
    99.00000 -0.155620E+02  0.908218E+01 -0.155669E+02  0.908218E+01 -0.318038E+01   -483.797   -410.998   -253.022      99
   100.00000 -0.155620E+02  0.937698E+01 -0.155670E+02  0.937698E+01 -0.325082E+01   -550.196   -456.181   -259.099     100
   101.00000 -0.155388E+02  0.968275E+01 -0.155441E+02  0.968275E+01 -0.331622E+01   -681.068   -515.784   -265.166     101
   102.00000 -0.155031E+02  0.999229E+01 -0.155085E+02  0.999229E+01 -0.337759E+01   -917.144   -600.580   -271.247     102
   103.00000 -0.154804E+02  0.103333E+02 -0.154866E+02  0.103333E+02 -0.343491E+01  -1225.078   -706.513   -277.349     103
   104.00000 -0.154503E+02  0.106746E+02 -0.154546E+02  0.106707E+02 -0.348818E+01  -2349.777   -900.931   -283.474     104
   105.00000 -0.154298E+02  0.110265E+02 -0.154284E+02  0.109854E+02 -0.353737E+01  -6274.878  -1257.728   -289.620     105
   106.00000 -0.154199E+02  0.113595E+02 -0.154175E+02  0.112486E+02 -0.358245E+01 -10453.022  -1742.236   -295.814     106
   107.00000 -0.154141E+02  0.117185E+02 -0.154117E+02  0.114916E+02 -0.362332E+01 -13595.805  -2227.904   -302.143     107
   108.00000 -0.154141E+02  0.118771E+02 -0.154117E+02  0.115996E+02 -0.366095E+01 -10470.252  -2576.987   -309.663     108
   109.00000 -0.154106E+02  0.122035E+02 -0.154082E+02  0.117940E+02 -0.369660E+01 -13225.077  -2762.022   -317.530     109
   110.00000 -0.154106E+02  0.125526E+02 -0.154082E+02  0.119805E+02 -0.373034E+01 -11138.226  -3019.482   -325.012     110
   111.00000 -0.153979E+02  0.128871E+02 -0.153955E+02  0.121443E+02 -0.376226E+01 -56697.941  -4185.505   -332.193     111
   112.00000 -0.153685E+02  0.132232E+02 -0.153895E+02  0.122952E+02 -0.379241E+01-100000.000  -5292.865   -339.103     112
   113.00000 -0.153639E+02  0.135900E+02 -0.153863E+02  0.124442E+02 -0.382087E+01-100000.000  -5610.111   -345.842     113
   114.00000 -0.153639E+02  0.137123E+02 -0.153863E+02  0.124959E+02 -0.384766E+01 -53269.926  -5055.368   -352.367     114
   115.00000 -0.155439E+02  0.139904E+02 -0.155665E+02  0.126360E+02 -0.387357E+01  -1047.857  -3232.899   -358.792     115
   116.00000 -0.155236E+02  0.143451E+02 -0.155452E+02  0.128260E+02 -0.389778E+01  -5569.889  -3648.098   -365.079     116
   117.00000 -0.155131E+02  0.147223E+02 -0.155336E+02  0.129764E+02 -0.392028E+01 -13970.020  -4369.109   -371.283     117
   118.00000 -0.154861E+02  0.151226E+02 -0.155168E+02  0.130988E+02 -0.394108E+01-100000.000  -6339.270   -377.476     118
   119.00000 -0.155161E+02  0.154692E+02 -0.155475E+02  0.132029E+02 -0.396059E+01  -3761.775  -4591.526   -383.895     119
   120.00000 -0.155161E+02  0.157877E+02 -0.155464E+02  0.132959E+02 -0.397864E+01  -6978.961  -4715.277   -391.981     120
   121.00000 -0.155161E+02  0.160698E+02 -0.155459E+02  0.133722E+02 -0.399584E+01  -7793.450  -4789.260   -399.461     121
   122.00000 -0.155161E+02  0.163928E+02 -0.155458E+02  0.134572E+02 -0.401237E+01  -7961.273  -4850.286   -406.571     122
   123.00000 -0.155161E+02  0.166628E+02 -0.155458E+02  0.135227E+02 -0.402808E+01  -8009.225  -4933.923   -413.305     123
   124.00000 -0.182861E+02  0.168001E+02 -0.183158E+02  0.136279E+02 -0.404346E+01   -135.371   -660.721   -419.948     124
   125.00000 -0.183561E+02  0.170633E+02 -0.183858E+02  0.138912E+02 -0.405819E+01   -320.484   -443.246   -426.329     125
   126.00000 -0.187061E+02  0.173864E+02 -0.187358E+02  0.142143E+02 -0.407231E+01   -299.919   -437.015   -432.509     126
   127.00000 -0.187061E+02  0.177998E+02 -0.187364E+02  0.146277E+02 -0.408582E+01   -498.621   -529.565   -438.487     127
   128.00000 -0.188961E+02  0.180772E+02 -0.189263E+02  0.149051E+02 -0.409879E+01   -435.139   -558.563   -444.246     128
   129.00000 -0.189861E+02  0.183145E+02 -0.190163E+02  0.151424E+02 -0.411122E+01   -515.799   -600.661   -449.685     129
