 ******* Program HYDRUS
 ******* None                                                                    
 Date:   0.**.    Time: ***:**:**
 Units: L = cm   , T = days , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
   66     65.00     0.000     0.445      -0.0   0.212E+03     1.000     0.000     1.000     1.000     1.000
   67     66.00     0.000     0.445      -0.0   0.212E+03     1.000     0.000     1.000     1.000     1.000
   68     67.00     0.000     0.445      -0.0   0.212E+03     1.000     0.000     1.000     1.000     1.000
   69     68.00     0.000     0.445      -0.0   0.212E+03     1.000     0.000     1.000     1.000     1.000
   70     69.00     0.000     0.445      -0.0   0.212E+03     1.000     0.000     1.000     1.000     1.000
   71     70.00     0.000     0.445      -0.0   0.212E+03     1.000     0.000     1.000     1.000     1.000
   72     71.00     0.000     0.445      -0.0   0.212E+03     1.000     0.000     1.000     1.000     1.000
   73     72.00     0.000     0.445      -0.0   0.212E+03     1.000     0.000     1.000     1.000     1.000
   74     73.00     0.000     0.445      -0.0   0.212E+03     1.000     0.000     1.000     1.000     1.000
   75     74.00     0.000     0.445      -0.0   0.212E+03     1.000     0.000     1.000     1.000     1.000
   76     75.00     0.000     0.445      -0.0   0.212E+03     1.000     0.000     1.000     1.000     1.000
   77     76.00     0.000     0.445      -0.0   0.212E+03     1.000     0.000     1.000     1.000     1.000
   78     77.00     0.000     0.445      -0.0   0.212E+03     1.000     0.000     1.000     1.000     1.000
   79     78.00     0.000     0.445      -0.0   0.212E+03     1.000     0.000     1.000     1.000     1.000
   80     79.00     0.000     0.445      -0.0   0.212E+03     1.000     0.000     1.000     1.000     1.000
   81     80.00     0.000     0.445      -0.0   0.212E+03     1.000     0.000     1.000     1.000     1.000
   82     81.00     0.000     0.445      -0.0   0.212E+03     1.000     0.000     1.000     1.000     1.000
   83     82.00     0.000     0.445      -0.0   0.212E+03     1.000     0.000     1.000     1.000     1.000
   84     83.00     0.000     0.445      -0.0   0.212E+03     1.000     0.000     1.000     1.000     1.000
   85     84.00     0.000     0.445      -0.0   0.212E+03     1.000     0.000     1.000     1.000     1.000
   86     85.00     0.000     0.445      -0.0   0.212E+03     1.000     0.000     1.000     1.000     1.000
   87     86.00     0.000     0.445      -0.0   0.212E+03     1.000     0.000     1.000     1.000     1.000
   88     87.00     0.000     0.445      -0.0   0.212E+03     1.000     0.000     1.000     1.000     1.000
   89     88.00     0.000     0.445      -0.0   0.212E+03     1.000     0.000     1.000     1.000     1.000
   90     89.00     0.000     0.445      -0.0   0.212E+03     1.000     0.000     1.000     1.000     1.000
   91     90.00     0.000     0.445      -0.0   0.212E+03     1.000     0.000     1.000     1.000     1.000
   92     91.00     0.000     0.445      -0.0   0.212E+03     1.000     0.000     1.000     1.000     1.000
   93     92.00     0.000     0.445      -0.0   0.212E+03     1.000     0.000     1.000     1.000     1.000
   94     93.00     0.000     0.445      -0.0   0.212E+03     1.000     0.000     1.000     1.000     1.000
   95     94.00     0.000     0.445      -0.0   0.212E+03     1.000     0.000     1.000     1.000     1.000
   96     95.00     0.000     0.445      -0.0   0.212E+03     1.000     0.000     1.000     1.000     1.000
   97     96.00     0.000     0.445      -0.0   0.212E+03     1.000     0.000     1.000     1.000     1.000
   98     97.00     0.000     0.445      -0.0   0.212E+03     1.000     0.000     1.000     1.000     1.000
   99     98.00     0.000     0.445      -0.0   0.212E+03     1.000     0.000     1.000     1.000     1.000
  100     99.00     0.000     0.445      -0.0   0.212E+03     1.000     0.000     1.000     1.000     1.000
  101    100.00     0.000     0.445      -0.0   0.212E+03     1.000     0.000     1.000     1.000     1.000
end
