 ******* Program HYDRUS
 ******* Infiltration and drainage in a large caisson                            
 Date:   1. 1.    Time: ***: 0:**
 Units: L = cm   , T = min  , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency
      205  0.1900000E+03  0.50000E+00    2      410    -1     1     T
      207  0.1910000E+03  0.50000E+00    2      414    -1     1     T
      209  0.1920000E+03  0.50000E+00    2      418    -1     1     T
      211  0.1930000E+03  0.50000E+00    2      422    -1     1     T
      213  0.1940000E+03  0.50000E+00    2      426    -1     1     T
      215  0.1950000E+03  0.50000E+00    2      430    -1     1     T
      217  0.1960000E+03  0.50000E+00    2      434    -1     1     T
      219  0.1970000E+03  0.50000E+00    2      438    -1     1     T
      221  0.1980000E+03  0.50000E+00    2      442    -1     1     T
      223  0.1990000E+03  0.50000E+00    2      446    -1     1     T
      225  0.2000000E+03  0.50000E+00    2      450    -1     1     T
      227  0.2010000E+03  0.50000E+00    2      454    -1     1     T
      229  0.2020000E+03  0.50000E+00    2      458    -1     1     T
      231  0.2030000E+03  0.50000E+00    2      462    -1     1     T
      233  0.2040000E+03  0.50000E+00    2      466    -1     1     T
      235  0.2050000E+03  0.50000E+00    2      470    -1     1     T
      237  0.2060000E+03  0.50000E+00    2      474    -1     1     T
      239  0.2070000E+03  0.50000E+00    2      478    -1     1     T
      241  0.2080000E+03  0.50000E+00    2      482    -1     1     T
      243  0.2090000E+03  0.50000E+00    2      486    -1     1     T
      245  0.2100000E+03  0.50000E+00    2      490    -1     1     T
      247  0.2110000E+03  0.50000E+00    2      494    -1     1     T
      249  0.2120000E+03  0.50000E+00    2      498    -1     1     T
      251  0.2130000E+03  0.50000E+00    2      502    -1     1     T
      253  0.2140000E+03  0.50000E+00    2      506    -1     1     T
      255  0.2150000E+03  0.50000E+00    2      510    -1     1     T
      257  0.2160000E+03  0.50000E+00    2      514    -1     1     T
      259  0.2170000E+03  0.50000E+00    2      518    -1     1     T
      261  0.2180000E+03  0.50000E+00    2      522    -1     1     T
      263  0.2190000E+03  0.50000E+00    2      526    -1     1     T
      265  0.2200000E+03  0.50000E+00    2      530    -1     1     T
      267  0.2210000E+03  0.50000E+00    2      534    -1     1     T
      269  0.2220000E+03  0.50000E+00    2      538    -1     1     T
      271  0.2230000E+03  0.50000E+00    2      542    -1     1     T
      273  0.2240000E+03  0.50000E+00    2      546    -1     1     T
      275  0.2250000E+03  0.50000E+00    2      550    -1     1     T
      277  0.2260000E+03  0.50000E+00    2      554    -1     1     T
      279  0.2270000E+03  0.50000E+00    2      558    -1     1     T
      281  0.2280000E+03  0.50000E+00    2      562    -1     1     T
