 ******* Program HYDRUS
 ******* Infiltration and drainage in a large caisson                            
 Date:   1. 1.    Time: ***: 0:**
 Units: L = cm   , T = min  , M = mmol 

 CosAlf,MaxIt,TolTh,  TolH
 1.000   10   0.001 1.00000

 TopInF,BotInF,AtmBC,SinkF,WLayer,qGWLF,FreeD,SeepF,lWat,lChem,lTemp,lRoot,lWDep
     F     F     F     F     F     F     F     F     T     F     F     F     F

Nodal point information

node      x         hOld    MatN LayN  Beta      Ah       AK      ATh     Temp    Conc(1...NS)         Sorb(1...NS)

   1      0.000      0.342    1    1   0.000    1.000    1.000    1.000
   2     -0.100      0.342    1    1   0.000    1.000    1.000    1.000
   3     -0.200      0.342    1    1   0.000    1.000    1.000    1.000
   4     -0.300      0.342    1    1   0.000    1.000    1.000    1.000
   5     -0.400      0.342    2    1   0.000    1.000    1.000    1.000
   6     -0.500      0.342    2    1   0.000    1.000    1.000    1.000
   7     -0.600      0.342    2    1   0.000    1.000    1.000    1.000
   8     -0.700      0.342    2    1   0.000    1.000    1.000    1.000
   9     -0.800      0.342    2    1   0.000    1.000    1.000    1.000
  10     -0.900      0.342    2    1   0.000    1.000    1.000    1.000
  11     -1.000      0.342    2    1   0.000    1.000    1.000    1.000
end

 Number of species in the chain :   0


MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l

    1    0.080  0.342   0.300E-01   0.500E+01   0.100E+01 -0.500
    2    0.080  0.342   0.300E-01   0.500E+01   0.100E+00 -0.500

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  0.3421  -0.870E-02 -0.2061E+01  0.0000E+00  0.1000E+01  0.0000E+00    1.0000  0.0000E+00
  0.3421  -0.110E-01 -0.1960E+01  0.0000E+00  0.1000E+01  0.0000E+00    1.0000  0.0000E+00
  0.3421  -0.138E-01 -0.1859E+01  0.0000E+00  0.1000E+01  0.0000E+00    1.0000  0.0000E+00
  0.3421  -0.175E-01 -0.1758E+01  0.0000E+00  0.1000E+01  0.0000E+00    1.0000  0.0000E+00
  0.3421  -0.221E-01 -0.1657E+01  0.0000E+00  0.1000E+01  0.0000E+00    1.0000  0.0000E+00
  0.3421  -0.278E-01 -0.1556E+01  0.0000E+00  0.1000E+01  0.0000E+00    1.0000  0.0000E+00
  0.3421  -0.351E-01 -0.1455E+01  0.0000E+00  0.1000E+01  0.0000E+00    1.0000  0.0000E+00
  0.3421  -0.443E-01 -0.1354E+01  0.9817E-13  0.1000E+01  0.0000E+00    1.0000  0.0000E+00
  0.3421  -0.559E-01 -0.1253E+01  0.2489E-12  0.1000E+01  0.0000E+00    1.0000  0.0000E+00
  0.3421  -0.705E-01 -0.1152E+01  0.6311E-12  0.1000E+01  0.0000E+00    1.0000  0.0000E+00
  0.3421  -0.890E-01 -0.1051E+01  0.1600E-11  0.1000E+01  0.0000E+00    1.0000  0.0000E+00
  0.3421  -0.112E+00 -0.9495E+00  0.4057E-11  0.1000E+01  0.0000E+00    1.0000  0.0000E+00
  0.3421  -0.142E+00 -0.8485E+00  0.1028E-10  0.1000E+01  0.0000E+00    1.0000  0.0000E+00
  0.3421  -0.179E+00 -0.7475E+00  0.2608E-10  0.1000E+01  0.0000E+00    1.0000  0.0000E+00
  0.3421  -0.226E+00 -0.6465E+00  0.6611E-10  0.1000E+01  0.0000E+00    1.0000  0.0000E+00
  0.3421  -0.285E+00 -0.5455E+00  0.1676E-09  0.1000E+01  0.0000E+00    1.0000  0.0000E+00
  0.3421  -0.359E+00 -0.4444E+00  0.4250E-09  0.1000E+01  0.0000E+00    1.0000  0.0000E+00
  0.3421  -0.453E+00 -0.3434E+00  0.1077E-08  0.1000E+01 -0.2589E-07    1.0000  0.0000E+00
  0.3421  -0.572E+00 -0.2424E+00  0.2732E-08  0.1000E+01 -0.7766E-07    1.0000  0.0000E+00
  0.3421  -0.722E+00 -0.1414E+00  0.6926E-08  0.1000E+01 -0.1812E-06    1.0000  0.0000E+00
  0.3421  -0.911E+00 -0.4040E-01  0.1756E-07  0.1000E+01 -0.4918E-06    1.0000  0.0000E+00
  0.3421  -0.115E+01  0.6061E-01  0.4452E-07  0.1000E+01 -0.1217E-05    1.0000  0.0000E+00
  0.3421  -0.145E+01  0.1616E+00  0.1129E-06  0.1000E+01 -0.3080E-05    1.0000  0.1290E-33
  0.3421  -0.183E+01  0.2626E+00  0.2862E-06  0.1000E+01 -0.7818E-05    1.0000  0.1311E-31
